trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",25,0,-84.11421433046418,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",25,18,10.008740532041479,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2043434617462395}",20,2,17.21266126194392,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",35,21,20.732377954865186,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2002770268574893}",30,12,22.859850795640604,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",20,12,14.338221539130375,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",25,17,10.49790095806458,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",30,19,15.725625795402589,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",35,6,-22.493872751837664,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",25,0,24.52905269312441,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",30,12,18.069868741511467,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",25,0,18.935700424693856,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",30,23,10.975561852235138,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",20,0,15.32440163816954,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
